rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,2125,131,45.8,1.5
2,2.5,8.0,50.0,200.0,2545,129,45.0,1.53
3,2.5,8.0,50.0,200.0,2545,129,45.0,1.53
