rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,3.5,8.0,50.0,200.0,7280,130,50.0,2.1
2,3.5,8.0,50.0,200.0,7270,130,50.0,2.1
3,3.5,8.0,50.0,200.0,7280,130,50.0,2.1
