rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,5865,129,50.4,1.93
2,2.5,8.0,50.0,200.0,6170,129,49.6,1.94
3,2.5,8.0,50.0,200.0,6170,129,49.6,1.94
