entry_dt,exit_dt,direction,pnl,hit_type,candles_held,mfe,mae,atr,tp,sl,be_triggered,book_imbalance
2026-03-30 18:20:00,2026-03-31 09:00:00,SELL,-200,SL,1,0.0,2845.0,177.14285714285714,354,200,False,0.0
2026-04-01 15:00:00,2026-04-01 15:05:00,SELL,375,TP,1,460.0,0.0,187.5,375,200,True,0.0
2026-04-01 18:00:00,2026-04-01 18:05:00,SELL,-200,SL,1,0.0,285.0,191.78571428571428,384,200,False,0.0
2026-04-02 18:00:00,2026-04-06 09:00:00,SELL,-200,SL,5,35.0,965.0,172.5,345,200,False,0.0
2026-04-06 17:50:00,2026-04-07 09:00:00,SELL,805,TP,7,835.0,160.0,150.0,300,200,True,0.0
2026-04-14 15:25:00,2026-04-14 15:30:00,SELL,-200,SL,1,0.0,230.0,174.64285714285714,349,200,False,0.0
2026-04-14 17:15:00,2026-04-14 17:30:00,SELL,5,SL,3,245.0,95.0,159.64285714285714,319,200,True,0.0
2026-04-14 17:25:00,2026-04-14 17:30:00,SELL,15,SL,1,260.0,0.0,151.78571428571428,304,200,True,0.0
2026-04-15 14:40:00,2026-04-15 14:45:00,SELL,-60,SL,1,205.0,80.0,173.92857142857142,348,200,True,0.0
2026-04-15 14:50:00,2026-04-15 14:55:00,SELL,-200,SL,1,0.0,275.0,184.28571428571428,369,200,False,0.0
2026-04-15 16:35:00,2026-04-15 16:50:00,SELL,10,SL,3,260.0,0.0,179.64285714285714,359,200,True,0.0
2026-04-16 15:35:00,2026-04-16 15:55:00,SELL,365,TP,4,380.0,0.0,177.14285714285714,354,200,True,0.0
2026-04-16 16:00:00,2026-04-16 16:15:00,SELL,-200,SL,3,10.0,280.0,179.64285714285714,359,200,False,0.0
2026-04-17 15:10:00,2026-04-17 15:45:00,SELL,375,TP,7,435.0,25.0,186.07142857142858,372,200,True,0.0
2026-04-17 15:20:00,2026-04-17 15:45:00,SELL,365,TP,5,375.0,85.0,175.71428571428572,351,200,True,0.0
2026-04-20 15:45:00,2026-04-20 16:10:00,SELL,-200,SL,5,55.0,260.0,157.85714285714286,316,200,False,0.0
2026-04-22 15:25:00,2026-04-22 16:00:00,SELL,365,TP,7,430.0,5.0,181.42857142857142,363,200,True,0.0
2026-04-24 15:25:00,2026-04-24 15:30:00,SELL,-200,SL,1,0.0,325.0,153.21428571428572,306,200,False,0.0
2026-04-28 15:15:00,2026-04-28 15:20:00,SELL,-200,SL,1,0.0,340.0,158.21428571428572,316,200,False,0.0
2026-04-29 13:35:00,2026-04-29 14:35:00,SELL,120,TP,12,335.0,115.0,197.85714285714286,396,200,True,0.0
2026-04-29 15:15:00,2026-04-29 15:20:00,SELL,-200,SL,1,0.0,235.0,184.64285714285714,369,200,False,0.0
2026-04-29 17:35:00,2026-04-29 18:10:00,SELL,380,TP,7,390.0,0.0,187.14285714285714,374,200,True,0.0
