rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,7310,141,53.9,2.09
2,2.5,8.0,50.0,200.0,7610,141,53.2,2.1
3,2.5,8.0,50.0,200.0,7610,141,53.2,2.1
