rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,975,19,47.4,1.93
2,2.5,8.0,50.0,200.0,975,19,47.4,1.93
3,2.5,8.0,50.0,200.0,880,19,47.4,1.87
