rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,6930,128,56.2,2.18
2,2.5,8.0,50.0,200.0,7300,128,55.5,2.19
3,2.5,8.0,50.0,200.0,7305,128,55.5,2.19
