rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,0.8,1.5,50.0,200.0,-2245,25,40.0,0.48
2,0.8,1.5,50.0,200.0,-2245,25,40.0,0.48
3,0.8,1.5,50.0,200.0,-2245,25,40.0,0.48
