rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,-965,15,40.0,0.71
2,2.5,8.0,50.0,200.0,-1090,15,40.0,0.64
3,2.5,8.0,50.0,200.0,-1090,15,40.0,0.64
