rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,2755,101,46.5,1.66
2,2.5,8.0,50.0,200.0,2960,101,45.5,1.67
3,2.5,8.0,50.0,200.0,2960,101,45.5,1.67
