rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,3630,159,50.3,1.64
2,2.5,8.0,50.0,200.0,3630,159,50.3,1.64
3,2.5,8.0,50.0,200.0,3620,159,50.3,1.63
