rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,1.8,6.0,50.0,200.0,-1305,35,40.0,0.93
2,1.8,6.0,50.0,200.0,-1305,35,40.0,0.93
3,1.8,6.0,50.0,200.0,-1305,35,40.0,0.93
