rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,1.8,5.0,50.0,200.0,-585,14,42.9,0.9
2,1.8,5.0,50.0,200.0,-585,14,42.9,0.9
3,1.8,5.0,50.0,200.0,-490,14,42.9,0.96
