rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,3445,160,50.6,1.62
2,2.5,8.0,50.0,200.0,3445,160,50.6,1.62
3,2.5,8.0,50.0,200.0,3435,160,50.6,1.62
