rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.0,5.0,50.0,200.0,460,22,50.0,1.54
2,2.0,5.0,50.0,200.0,460,22,50.0,1.54
3,2.0,5.0,50.0,200.0,460,22,50.0,1.54
