rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,5355,133,50.4,1.86
2,2.5,8.0,50.0,200.0,5660,133,49.6,1.87
3,2.5,8.0,50.0,200.0,5660,133,49.6,1.87
