entry_dt,exit_dt,direction,pnl,hit_type,candles_held,mfe,mae,atr,tp,sl,be_triggered,book_imbalance
2026-03-30 18:20:00,2026-03-31 09:00:00,SELL,-200,SL,1,0.0,2845.0,177.14285714285714,443,200,False,0.0
2026-04-01 14:50:00,2026-04-01 14:55:00,SELL,-65,SL,1,270.0,80.0,179.28571428571428,448,200,True,0.0
2026-04-01 15:00:00,2026-04-01 15:10:00,SELL,470,TP,2,630.0,0.0,187.5,469,200,True,0.0
2026-04-01 17:55:00,2026-04-01 18:05:00,SELL,-200,SL,2,90.0,200.0,198.92857142857142,497,200,False,0.0
2026-04-01 18:05:00,2026-04-01 18:10:00,SELL,-200,SL,1,0.0,200.0,178.92857142857142,447,200,False,0.0
2026-04-02 17:45:00,2026-04-06 09:00:00,SELL,-200,SL,8,190.0,910.0,198.92857142857142,497,200,False,0.0
2026-04-02 17:55:00,2026-04-02 18:20:00,SELL,-200,SL,5,110.0,200.0,178.21428571428572,446,200,False,0.0
2026-04-02 18:10:00,2026-04-06 09:00:00,SELL,-200,SL,3,15.0,975.0,175.35714285714286,438,200,False,0.0
2026-04-02 18:20:00,2026-04-06 09:00:00,SELL,-200,SL,1,0.0,910.0,165.71428571428572,414,200,False,0.0
2026-04-06 16:25:00,2026-04-06 16:30:00,SELL,-200,SL,1,0.0,200.0,183.57142857142858,459,200,False,0.0
2026-04-06 17:45:00,2026-04-07 09:00:00,SELL,850,TP,8,880.0,115.0,150.71428571428572,377,200,True,0.0
2026-04-06 17:55:00,2026-04-07 09:00:00,SELL,815,TP,6,845.0,150.0,142.85714285714286,357,200,True,0.0
2026-04-06 18:05:00,2026-04-06 18:10:00,SELL,-200,SL,1,0.0,220.0,141.07142857142858,353,200,False,0.0
2026-04-06 18:20:00,2026-04-07 09:00:00,SELL,855,TP,1,885.0,0.0,138.92857142857142,347,200,True,0.0
2026-04-07 15:50:00,2026-04-07 15:55:00,SELL,480,TP,1,490.0,0.0,186.78571428571428,467,200,True,0.0
2026-04-07 16:00:00,2026-04-07 16:05:00,SELL,-20,SL,1,230.0,180.0,192.5,481,200,True,0.0
2026-04-08 17:50:00,2026-04-08 17:55:00,SELL,-200,SL,1,0.0,235.0,156.07142857142858,390,200,False,0.0
2026-04-08 18:20:00,2026-04-09 09:00:00,SELL,530,TP,1,680.0,300.0,159.28571428571428,398,200,True,0.0
2026-04-10 14:10:00,2026-04-10 14:45:00,SELL,-200,SL,7,165.0,205.0,190.35714285714286,476,200,False,0.0
2026-04-10 14:20:00,2026-04-10 14:45:00,SELL,-200,SL,5,155.0,215.0,191.07142857142858,478,200,False,0.0
2026-04-10 14:30:00,2026-04-10 14:40:00,SELL,-200,SL,2,0.0,215.0,182.85714285714286,457,200,False,0.0
2026-04-10 14:40:00,2026-04-10 14:55:00,SELL,-200,SL,3,5.0,215.0,180.0,450,200,False,0.0
2026-04-14 15:25:00,2026-04-14 15:30:00,SELL,-200,SL,1,0.0,230.0,174.64285714285714,437,200,False,0.0
2026-04-14 15:35:00,2026-04-14 16:00:00,SELL,-200,SL,5,120.0,375.0,170.0,425,200,False,0.0
2026-04-14 15:45:00,2026-04-14 16:00:00,SELL,-200,SL,3,55.0,415.0,168.92857142857142,422,200,False,0.0
2026-04-14 15:55:00,2026-04-14 16:00:00,SELL,-200,SL,1,0.0,335.0,172.14285714285714,430,200,False,0.0
2026-04-14 17:15:00,2026-04-14 17:30:00,SELL,5,SL,3,245.0,95.0,159.64285714285714,399,200,True,0.0
2026-04-14 17:25:00,2026-04-14 17:30:00,SELL,15,SL,1,260.0,0.0,151.78571428571428,379,200,True,0.0
2026-04-14 17:35:00,2026-04-15 09:00:00,SELL,10,SL,10,670.0,150.0,144.64285714285714,362,200,True,0.0
2026-04-14 17:45:00,2026-04-15 09:00:00,SELL,345,TP,8,745.0,75.0,135.35714285714286,338,200,True,0.0
2026-04-14 17:55:00,2026-04-15 09:00:00,SELL,365,TP,6,765.0,55.0,130.35714285714286,326,200,True,0.0
2026-04-14 18:05:00,2026-04-15 09:00:00,SELL,10,SL,4,655.0,165.0,130.35714285714286,326,200,True,0.0
2026-04-14 18:15:00,2026-04-15 09:00:00,SELL,315,TP,2,755.0,20.0,118.57142857142857,296,200,True,0.0
2026-04-15 09:00:00,2026-04-15 09:05:00,SELL,510,TP,1,845.0,0.0,122.14285714285714,305,200,True,0.0
2026-04-15 12:55:00,2026-04-15 14:05:00,SELL,150,TP,14,415.0,175.0,193.21428571428572,483,200,True,0.0
2026-04-15 13:45:00,2026-04-15 14:00:00,SELL,-200,SL,3,110.0,225.0,165.71428571428572,414,200,False,0.0
2026-04-15 14:05:00,2026-04-15 14:45:00,SELL,130,TP,8,155.0,180.0,167.5,419,200,False,0.0
2026-04-15 14:15:00,2026-04-15 14:55:00,SELL,-200,SL,8,185.0,215.0,169.64285714285714,424,200,False,0.0
2026-04-15 14:30:00,2026-04-15 14:45:00,SELL,-15,SL,3,250.0,45.0,172.5,431,200,True,0.0
2026-04-15 14:40:00,2026-04-15 14:45:00,SELL,-60,SL,1,205.0,80.0,173.92857142857142,435,200,True,0.0
2026-04-15 14:50:00,2026-04-15 14:55:00,SELL,-200,SL,1,0.0,275.0,184.28571428571428,461,200,False,0.0
2026-04-15 16:35:00,2026-04-15 16:50:00,SELL,10,SL,3,260.0,0.0,179.64285714285714,449,200,True,0.0
2026-04-15 16:45:00,2026-04-15 17:05:00,SELL,-200,SL,4,50.0,230.0,189.64285714285714,474,200,False,0.0
2026-04-15 16:55:00,2026-04-15 17:05:00,SELL,-200,SL,2,0.0,215.0,180.71428571428572,452,200,False,0.0
2026-04-15 17:20:00,2026-04-15 18:20:00,SELL,180,TP,12,185.0,85.0,167.14285714285714,418,200,False,0.0
2026-04-15 17:30:00,2026-04-16 09:00:00,SELL,-200,SL,11,110.0,655.0,148.57142857142858,371,200,False,0.0
2026-04-15 17:40:00,2026-04-16 09:00:00,SELL,-200,SL,9,180.0,585.0,141.78571428571428,354,200,False,0.0
2026-04-15 17:50:00,2026-04-16 09:00:00,SELL,-200,SL,7,175.0,590.0,130.35714285714286,326,200,False,0.0
2026-04-15 18:00:00,2026-04-16 09:00:00,SELL,-200,SL,5,100.0,665.0,127.85714285714286,320,200,False,0.0
2026-04-15 18:10:00,2026-04-16 09:00:00,SELL,-200,SL,3,155.0,610.0,123.21428571428571,308,200,False,0.0
2026-04-16 14:05:00,2026-04-16 14:10:00,SELL,15,SL,1,315.0,0.0,183.57142857142858,459,200,True,0.0
2026-04-16 14:15:00,2026-04-16 14:55:00,SELL,-55,SL,8,255.0,145.0,183.21428571428572,458,200,True,0.0
2026-04-16 14:25:00,2026-04-16 14:55:00,SELL,10,SL,6,320.0,80.0,186.42857142857142,466,200,True,0.0
2026-04-16 14:35:00,2026-04-16 14:55:00,SELL,5,SL,4,315.0,85.0,177.85714285714286,445,200,True,0.0
2026-04-16 14:45:00,2026-04-16 14:55:00,SELL,-5,SL,2,305.0,95.0,154.28571428571428,386,200,True,0.0
2026-04-16 14:55:00,2026-04-16 15:00:00,SELL,15,SL,1,230.0,50.0,150.0,375,200,True,0.0
2026-04-16 15:05:00,2026-04-16 16:15:00,SELL,205,TP,14,395.0,110.0,175.35714285714286,438,200,True,0.0
2026-04-16 15:15:00,2026-04-16 16:15:00,SELL,200,TP,12,390.0,115.0,198.21428571428572,496,200,True,0.0
2026-04-16 15:25:00,2026-04-16 15:40:00,SELL,10,SL,3,200.0,100.0,184.28571428571428,461,200,True,0.0
2026-04-16 15:35:00,2026-04-16 16:15:00,SELL,190,TP,8,380.0,25.0,177.14285714285714,443,200,True,0.0
2026-04-16 15:45:00,2026-04-16 16:00:00,SELL,25,SL,3,225.0,10.0,185.35714285714286,463,200,True,0.0
2026-04-16 15:55:00,2026-04-16 16:15:00,SELL,-200,SL,4,30.0,270.0,181.07142857142858,453,200,False,0.0
2026-04-16 16:05:00,2026-04-16 16:15:00,SELL,-200,SL,2,55.0,235.0,177.85714285714286,445,200,False,0.0
2026-04-16 16:15:00,2026-04-16 16:20:00,SELL,-200,SL,1,0.0,240.0,157.85714285714286,395,200,False,0.0
2026-04-16 17:35:00,2026-04-17 09:00:00,SELL,-200,SL,10,195.0,820.0,115.0,288,200,False,0.0
