rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,2175,129,45.0,1.5
2,2.5,8.0,50.0,200.0,2595,127,44.1,1.52
3,2.5,8.0,50.0,200.0,2595,127,44.1,1.52
