rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,0.8,1.5,50.0,200.0,-1855,29,37.9,0.71
2,0.8,1.5,50.0,200.0,-1855,29,37.9,0.71
3,0.8,1.5,50.0,200.0,-1855,29,37.9,0.71
