rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,4325,122,51.6,1.81
2,2.5,8.0,50.0,200.0,5500,122,50.8,1.91
3,2.5,8.0,50.0,200.0,5500,122,50.8,1.91
