rank,tp,sl,atr_min,atr_max,f3_net,f3_n,f3_wr,f3_pf
1,2.5,8.0,50.0,200.0,120,16,43.8,1.36
2,2.5,8.0,50.0,200.0,120,16,43.8,1.36
3,2.5,8.0,50.0,200.0,120,16,43.8,1.36
